Timestamp,Count,Configuration Version,Status Version,Calibration Action,
1477676359121,21250,1,2,0
1477676359122,21252,1,2,0
1477676359123,21250,1,2,0
1477676359124,21251,1,2,0
1477676359125,21250,1,2,0
1477676359126,21251,1,2,0
1477676359127,21251,1,2,0
1477676359128,21251,1,2,0
1477676359129,21250,1,2,0
1477676359130,21251,1,2,0
1477676359131,21250,1,2,0
1477676359132,21249,1,2,0
1477676359133,21251,1,2,0
1477676359134,21250,1,2,0
1477676359135,21251,1,2,0
1477676359136,21250,1,2,0
1477676359137,21250,1,2,0
1477676359138,21249,1,2,0
1477676359139,21250,1,2,0
1477676359140,21249,1,2,0
1477676359141,21250,1,2,0
1477676359142,21249,1,2,0
1477676359143,21250,1,2,0
1477676359144,21250,1,2,0
1477676359145,21250,1,2,0
1477676359146,21249,1,2,0
1477676359147,21249,1,2,0
1477676359148,21249,1,2,0
1477676359149,21248,1,2,0
1477676359150,21247,1,2,0
1477676359151,21248,1,2,0
1477676359152,21248,1,2,0
1477676359153,21248,1,2,0
1477676359154,21246,1,2,0
1477676359155,21246,1,2,0
1477676359156,21248,1,2,0
1477676359157,21246,1,2,0
1477676359158,21248,1,2,0
1477676359159,21246,1,2,0
1477676359160,21248,1,2,0
1477676359161,21246,1,2,0
1477676359162,21246,1,2,0
1477676359163,21246,1,2,0
1477676359164,21248,1,2,0
1477676359165,21247,1,2,0
1477676359166,21247,1,2,0
1477676359167,21246,1,2,0
1477676359168,21247,1,2,0
1477676359169,21246,1,2,0
1477676359170,21246,1,2,0
1477676359171,21247,1,2,0
1477676359172,21245,1,2,0
1477676359173,21247,1,2,0
1477676359174,21246,1,2,0
1477676359175,21246,1,2,0
1477676359176,21247,1,2,0
1477676359177,21247,1,2,0
1477676359178,21245,1,2,0
1477676359179,21247,1,2,0
1477676359180,21246,1,2,0
1477676359181,21245,1,2,0
1477676359182,21245,1,2,0
1477676359183,21247,1,2,0
1477676359184,21247,1,2,0
1477676359185,21244,1,2,0
1477676359186,21246,1,2,0
1477676359187,21245,1,2,0
